year,fuel_type,asset_id,asset_domain,asset_type,scenario
2051,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2052,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2053,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2054,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2055,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2056,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2057,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2058,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2059,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2060,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2061,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2062,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2063,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2064,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2065,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2020,GAS,F_753421_2717033,building,building_aggregate,hybrid_gas
2021,GAS,F_753421_2717033,building,building_aggregate,hybrid_gas
2022,GAS,F_753421_2717033,building,building_aggregate,hybrid_gas
2023,GAS,F_753421_2717033,building,building_aggregate,hybrid_gas
2024,GAS,F_753421_2717033,building,building_aggregate,hybrid_gas
2025,GAS,F_753421_2717033,building,building_aggregate,hybrid_gas
2026,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2027,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2028,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2029,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2030,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2031,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2032,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2033,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2034,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2035,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2036,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2037,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2038,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2039,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2040,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2041,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2042,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2043,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2044,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2045,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2046,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2047,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2048,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2049,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2050,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2051,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2052,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
