year,leaks,asset_id,asset_domain,asset_type,scenario
2032,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2033,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2034,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2035,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2036,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2037,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2038,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2039,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2040,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2041,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2042,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2043,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2044,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2045,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2046,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2047,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2048,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2049,0.0,IL_1224309004,building,building_aggregate,managed_elec_high_eff_basic_enc
2024,10.96,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2025,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2026,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2027,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2028,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2029,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2030,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2031,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2032,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2033,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2034,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2035,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2036,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2037,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2038,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2039,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2040,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2041,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2042,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2043,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2044,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2045,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2046,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2047,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2048,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2049,0.0,GS001,gas_network,gas_service,managed_elec_high_eff_basic_enc
2024,10.96,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2025,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2026,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2027,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2028,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2029,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2030,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2031,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2032,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2033,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2034,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2035,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2036,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2037,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2038,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2039,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2040,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2041,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2042,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2043,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2044,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2045,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2046,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2047,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2048,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2049,0.0,GS002,gas_network,gas_service,managed_elec_high_eff_basic_enc
2024,10.96,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2025,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2026,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2027,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2028,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2029,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2030,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2031,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2032,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2033,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2034,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2035,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2036,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2037,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2038,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2039,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2040,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2041,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2042,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2043,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2044,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2045,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2046,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2047,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2048,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2049,0.0,GS003,gas_network,gas_service,managed_elec_high_eff_basic_enc
2024,10.96,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2025,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2026,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2027,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2028,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2029,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2030,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2031,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2032,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2033,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2034,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2035,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2036,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2037,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2038,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2039,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2040,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2041,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2042,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2043,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2044,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2045,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2046,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2047,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2048,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2049,0.0,GS004,gas_network,gas_service,managed_elec_high_eff_basic_enc
2024,10.96,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2025,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2026,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2027,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2028,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2029,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2030,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2031,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2032,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2033,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2034,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2035,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2036,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2037,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2038,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2039,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2040,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2041,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2042,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2043,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2044,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2045,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2046,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2047,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2048,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2049,0.0,GS005,gas_network,gas_service,managed_elec_high_eff_basic_enc
2024,10.96,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2025,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2026,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2027,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2028,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2029,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2030,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2031,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2032,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2033,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2034,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2035,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2036,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2037,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2038,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2039,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2040,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2041,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2042,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2043,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2044,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2045,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2046,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2047,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2048,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2049,0.0,GS006,gas_network,gas_service,managed_elec_high_eff_basic_enc
2024,10.96,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2025,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2026,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2027,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2028,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2029,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2030,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2031,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2032,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2033,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2034,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2035,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2036,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2037,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2038,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2039,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2040,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2041,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2042,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2043,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2044,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2045,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2046,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2047,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2048,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2049,0.0,GS007,gas_network,gas_service,managed_elec_high_eff_basic_enc
2024,10.96,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2025,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2026,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2027,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2028,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2029,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2030,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2031,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2032,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2033,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2034,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2035,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2036,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2037,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2038,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2039,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2040,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2041,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2042,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2043,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2044,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2045,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2046,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2047,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2048,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2049,0.0,GS008,gas_network,gas_service,managed_elec_high_eff_basic_enc
2024,10.96,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2025,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2026,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2027,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2028,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2029,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2030,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2031,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2032,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2033,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2034,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2035,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2036,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2037,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2038,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2039,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2040,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2041,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2042,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2043,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2044,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2045,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2046,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2047,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2048,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2049,0.0,GS009,gas_network,gas_service,managed_elec_high_eff_basic_enc
2024,10.96,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2025,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2026,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2027,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2028,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2029,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2030,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2031,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2032,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2033,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2034,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2035,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2036,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2037,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2038,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2039,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2040,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2041,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2042,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2043,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2044,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2045,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2046,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2047,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2048,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2049,0.0,GS010,gas_network,gas_service,managed_elec_high_eff_basic_enc
2024,10.96,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2025,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2026,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2027,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2028,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2029,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2030,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2031,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2032,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2033,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2034,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2035,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2036,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2037,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2038,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2039,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2040,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2041,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2042,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2043,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2044,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2045,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2046,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2047,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2048,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2049,0.0,GS011,gas_network,gas_service,managed_elec_high_eff_basic_enc
2024,10.96,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2025,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2026,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2027,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2028,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2029,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2030,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2031,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2032,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2033,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2034,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2035,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2036,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2037,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2038,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2039,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2040,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2041,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2042,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2043,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2044,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2045,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2046,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2047,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2048,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2049,0.0,GS012,gas_network,gas_service,managed_elec_high_eff_basic_enc
2024,10.96,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2025,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2026,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2027,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2028,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2029,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2030,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2031,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2032,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2033,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2034,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2035,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2036,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2037,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2038,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2039,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2040,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2041,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2042,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2043,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2044,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2045,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2046,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2047,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2048,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2049,0.0,GS013,gas_network,gas_service,managed_elec_high_eff_basic_enc
2024,10.96,GS014,gas_network,gas_service,managed_elec_high_eff_basic_enc
2025,0.0,GS014,gas_network,gas_service,managed_elec_high_eff_basic_enc
2026,0.0,GS014,gas_network,gas_service,managed_elec_high_eff_basic_enc
2027,0.0,GS014,gas_network,gas_service,managed_elec_high_eff_basic_enc
2028,0.0,GS014,gas_network,gas_service,managed_elec_high_eff_basic_enc
2029,0.0,GS014,gas_network,gas_service,managed_elec_high_eff_basic_enc
2030,0.0,GS014,gas_network,gas_service,managed_elec_high_eff_basic_enc
2031,0.0,GS014,gas_network,gas_service,managed_elec_high_eff_basic_enc
2032,0.0,GS014,gas_network,gas_service,managed_elec_high_eff_basic_enc
2033,0.0,GS014,gas_network,gas_service,managed_elec_high_eff_basic_enc
